Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0003: (MOVE-UP F1 F9) [D:1.0000; C:1.0000]
 1.0005: (ENTER P3 F9) [D:1.0000; C:1.0000]
 2.0008: (MOVE-UP F9 F35) [D:1.0000; C:1.0000]
 3.0010: (EXIT P3 F35) [D:1.0000; C:1.0000]
 4.0012: (MOVE-UP F35 F12) [D:1.0000; C:1.0000]
 5.0015: (ENTER P4 F12) [D:1.0000; C:1.0000]
 6.0017: (MOVE-UP F12 F24) [D:1.0000; C:1.0000]
 7.0020: (ENTER P8 F24) [D:1.0000; C:1.0000]
 8.0022: (MOVE-DOWN F24 F5) [D:1.0000; C:1.0000]
 9.0025: (EXIT P8 F5) [D:1.0000; C:1.0000]
 10.0028: (ENTER P18 F5) [D:1.0000; C:1.0000]
 11.0030: (MOVE-DOWN F5 F40) [D:1.0000; C:1.0000]
 12.0033: (EXIT P4 F40) [D:1.0000; C:1.0000]
 13.0035: (MOVE-UP F40 F42) [D:1.0000; C:1.0000]
 14.0037: (ENTER P14 F42) [D:1.0000; C:1.0000]
 15.0040: (MOVE-UP F42 F26) [D:1.0000; C:1.0000]
 16.0042: (EXIT P14 F26) [D:1.0000; C:1.0000]
 17.0045: (MOVE-DOWN F26 F6) [D:1.0000; C:1.0000]
 18.0047: (ENTER P2 F6) [D:1.0000; C:1.0000]
 19.0050: (MOVE-DOWN F6 F20) [D:1.0000; C:1.0000]
 20.0053: (EXIT P2 F20) [D:1.0000; C:1.0000]
 21.0055: (MOVE-UP F20 F21) [D:1.0000; C:1.0000]
 22.0058: (ENTER P7 F21) [D:1.0000; C:1.0000]
 23.0060: (MOVE-UP F21 F2) [D:1.0000; C:1.0000]
 24.0063: (EXIT P7 F2) [D:1.0000; C:1.0000]
 25.0065: (ENTER P17 F2) [D:1.0000; C:1.0000]
 26.0068: (MOVE-UP F2 F39) [D:1.0000; C:1.0000]
 27.0070: (ENTER P13 F39) [D:1.0000; C:1.0000]
 28.0072: (MOVE-DOWN F39 F22) [D:1.0000; C:1.0000]
